Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Equestrian,Team eventing,Team,Check,France,Astier Nicolas,Germany,Michael Jung,Australia,Chris Burton
Equestrian,Individual jumping,Individual,Check,GreatBritain,Nick Skelton,France,Peder Fredricson,Canada,Eric Lamaze
Equestrian,Team jumping,Team,Check,France,Philippe Rozier,UnitedStates,Kent Farrington,Germany,Christian Ahlmann
Equestrian,Team jumping,Team,Check,France,Kevin Staut,UnitedStates,Lucy Davis,Germany,Meredith Michaels-Beerbaum
Equestrian,Team jumping,Team,Check,France,Roger-Yves Bost,UnitedStates,McLain Ward,Germany,Daniel Deusser
Equestrian,Team jumping,Team,Check,France,Pénélope Leprevost,UnitedStates,Elizabeth Madden,Germany,Ludger Beerbaum
Fencing,Individual épée,Individual,Male,SouthKorea,Park Sang-young,Hungary,Géza Imre,France,Gauthier Grumier
Fencing,Team épée,Team,Male,France,Gauthier Grumier,Italy,Enrico Garozzo,Hungary,Gábor Boczkó
Fencing,Team épée,Team,Male,France,Yannick Borel,Italy,Marco Fichera,Hungary,Géza Imre
Fencing,Team épée,Team,Male,France,Daniel Jérent,Italy,Paolo Pizzo,Hungary,András Rédli
Fencing,Team épée,Team,Male,France,Jean-Michel Lucenay,Italy,Andrea Santarelli,Hungary,Péter Somfai
Fencing,Individual foil,Individual,Male,Italy,Daniele Garozzo,UnitedStates,Alexander Massialas,Russia,Timur Safin
Fencing,Team foil,Team,Male,Russia,Timur Safin,Germany,Jérémy Cadot,UnitedStates,Miles Chamley-Watson
Fencing,Team foil,Team,Male,Russia,Artur Akhmatkhuzin,Germany,Enzo Lefort,UnitedStates,Race Imboden
Fencing,Team foil,Team,Male,Russia,Aleksey Cheremisinov,Germany,Erwan Le Péchoux,UnitedStates,Alexander Massialas
Fencing,Team foil,Team,Male,NoMedal,NoMedal,Germany,Jean-Paul Tony Helissey,UnitedStates,Gerek Meinhardt
Fencing,Individual sabre,Individual,Male,Hungary,Áron Szilágyi,UnitedStates,Daryl Homer,SouthKorea,Kim Jung-hwan
Fencing,Individual épée,Individual,Female,Hungary,Emese Szász,Italy,Rossella Fiamingo,China,Sun Yiwen
Fencing,Team épée,Team,Female,Romania,Loredana Dinu,China,Hao Jialu,Russia,Olga Kochneva
Fencing,Team épée,Team,Female,Romania,Simona Gherman,China,Sun Yiwen,Russia,Violetta Kolobova
Fencing,Team épée,Team,Female,Romania,Simona Pop,China,Sun Yujie,Russia,Tatiana Logunova
Fencing,Team épée,Team,Female,Romania,Ana Maria Popescu,China,Xu Anqi,Russia,Lyubov Shutova
Fencing,Individual foil,Team,Female,Russia,Inna Deriglazova,Italy,Elisa Di Francisca,Tunisia,Inès Boubakri
Fencing,Individual sabre,Individual,Female,Russia,Yana Egorian,Russia,Sofiya Velikaya,Ukraine,Olha Kharlan
Fencing,Team sabre,Team,Female,Russia,Sofia Velikaya,Ukraine,Olha Kharlan,UnitedStates,Monica Aksamit
Fencing,Team sabre,Team,Female,Russia,Yana Egorian,Ukraine,Olena Kravatska,UnitedStates,Ibtihaj Muhammad
Fencing,Team sabre,Team,Female,Russia,Ekaterina Dyachenko,Ukraine,Alina Komashchuk,UnitedStates,Dagmara Wozniak
Fencing,Team sabre,Team,Female,Russia,Yuliya Gavrilova,Ukraine,Olena Voronina,UnitedStates,Mariel Zagunis
Swimming,50 m freestyle,Individual,Male,UnitedStates,Anthony Ervin,France,Florent Manaudou,UnitedStates,Nathan Adrian
Swimming,100 m freestyle,Individual,Male,Australia,Kyle Chalmers,Belgium,Pieter Timmers,UnitedStates,Nathan Adrian
Swimming,200 m freestyle,Individual,Male,China,Sun Yang,SouthAfrica,Chad le Clos,UnitedStates,Conor Dwyer
Swimming,400 m freestyle,Individual,Male,Australia,Mack Horton,China,Sun Yang,Italy,Gabriele Detti
Swimming,1500 m freestyle,Individual,Male,Italy,Gregorio Paltrinieri,UnitedStates,Connor Jaeger,Italy,Gabriele Detti
Swimming,100 m backstroke,Individual,Male,UnitedStates,Ryan Murphy,China,Xu Jiayu,UnitedStates,David Plummer
Swimming,200 m backstroke,Individual,Male,UnitedStates,Ryan Murphy,Australia,Mitch Larkin,Russia,Evgeny Rylov
Swimming,100 m breaststroke,Individual,Male,GreatBritain,Adam Peaty,SouthAfrica,Cameron van der Burgh,UnitedStates,Cody Miller
Swimming,200 m breaststroke,Individual,Male,Kazakhstan,Dmitriy Balandin,UnitedStates,Josh Prenot,Russia,Anton Chupkov
Swimming,100 m butterfly,Individual,Male,Singapore,Joseph Schooling,UnitedStates,Michael Phelps,NoMedal,NoMedal
Swimming,100 m butterfly,Individual,Male,NoMedal,NoMedal,SouthAfrica,Chad le Clos,NoMedal,NoMedal
Swimming,100 m butterfly,Individual,Male,NoMedal,NoMedal,Hungary,László Cseh,NoMedal,NoMedal
Swimming,200 m butterfly,Individual,Male,UnitedStates,Michael Phelps,Japan,Masato Sakai,Hungary,Tamás Kenderesi
Swimming,200 m individual medley,Individual,Male,UnitedStates,Michael Phelps,Japan,Kosuke Hagino,China,Wang Shun
Swimming,400 m individual medley,Individual,Male,Japan,Kosuke Hagino,UnitedStates,Chase Kalisz,Japan,Daiya Seto
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Caeleb Dressel,France,Mehdy Metella,Australia,James Roberts
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Michael Phelps,France,Fabien Gilot,Australia,Kyle Chalmers
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Ryan Held,France,Florent Manaudou,Australia,James Magnussen
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Nathan Adrian,France,Jérémy Stravius,Australia,Cameron McEvoy
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Jimmy Feigen,France,Clément Mignon,Australia,Matthew Abood
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Blake Pieroni,France,William Meynard,NoMedal,NoMedal
Swimming,4×100 m freestyle relay,Team,Male,UnitedStates,Anthony Ervin,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Conor Dwyer,GreatBritain,Stephen Milne,Japan,Kosuke Hagino 
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Townley Haas,GreatBritain,Duncan Scott,Japan,Naito Ehara
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Ryan Lochte,GreatBritain,Daniel Wallace,Japan,Yuki Kobori
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Michael Phelps,GreatBritain,James Guy,Japan,Takeshi Matsuda
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Clark Smith,GreatBritain,Robbie Renwick,NoMedal,NoMedal
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Jack Conger,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×200 m freestyle relay,Team,Male,UnitedStates,Gunnar Bentz,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Ryan Murphy,GreatBritain,Chris Walker-Hebborn,Australia,Mitch Larkin
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Cody Miller,GreatBritain,Adam Peaty,Australia,Jack Packard
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Michael Phelps,GreatBritain,James Guy,Australia,David Morgon
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Nathan Adrian,GreatBritain,Duncan Scott,Australia,Kyle Chalmers
Swimming,4×100 m medley relay,Team,Male,UnitedStates,David Plummer,NoMedal,NoMedal,Australia,Cameron McEvoy
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Kevin Cordes,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Tom Shields,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Male,UnitedStates,Caeleb Dressel,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,10 km open water,Individual,Male,Netherlands,Ferry Weertman,Greece,Spyridon Gianniotis,France,Marc-Antoine Olivier
Swimming,50 m freestyle,Individual,Female,Denmark,Pernille Blume,UnitedStates,Simone Manuel,Belarus,Aliaksandra Herasimenia
Swimming,100 m freestyle,Individual,Female,UnitedStates,Simone Manuel,NoMedal,NoMedal,Sweden,Sarah Sjöström
Swimming,100 m freestyle,Individual,Female,Canada,Penny Oleksiak,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,200 m freestyle,Individual,Female,UnitedStates,Katie Ledecky,Sweden,Sarah Sjöström,Australia,Emma McKeon
Swimming,400 m freestyle,Individual,Female,UnitedStates,Katie Ledecky,GreatBritain,Jazmin Carlin,UnitedStates,Leah Smith
Swimming,800 m freestyle,Individual,Female,UnitedStates,Katie Ledecky,GreatBritain,Jazmin Carlin,Hungary,Boglárka Kapás
Swimming,100 m backstroke,Individual,Female,Hungary,Katinka Hosszú,UnitedStates,Kathleen Baker,Canada,Kylie Masse
Swimming,100 m backstroke,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,China,Fu Yuanhui
Swimming,200 m backstroke,Individual,Female,UnitedStates,Maya DiRado,Hungary,Katinka Hosszú,Canada,Hilary Caldwell
Swimming,100 m breaststroke,Individual,Female,UnitedStates,Lilly King,Russia,Yulia Efimova,UnitedStates,Katie Meili
Swimming,200 m breaststroke,Individual,Female,Japan,Rie Kaneto,Russia,Yulia Efimova,China,Shi Jinglin
Swimming,100 m butterfly,Individual,Female,Sweden,Sarah Sjöström,Canada,Penny Oleksiak,UnitedStates,Dana Vollmer
Swimming,200 m butterfly,Individual,Female,Spain,Mireia Belmonte García,Australia,Madeline Groves,Japan,Natsumi Hoshi
Swimming,200 m individual medley,Individual,Female,Hungary,Katinka Hosszú,GreatBritain,Siobhan-Marie O'Connor,UnitedStates,Maya DiRado
Swimming,400 m individual medley,Individual,Female,Hungary,Katinka Hosszú,UnitedStates, Maya DiRado,Spain,Mireia Belmonte García
Swimming,4×100 m freestyle relay,Team,Female,Australia,Emma McKeon,UnitedStates,Simone Manuel,Canada,Sandrine Mainville
Swimming,4×100 m freestyle relay,Team,Female,Australia,Brittney Elmslie,UnitedStates,Abbey Weitzeil,Canada,Chantal Van Landeghem
Swimming,4×100 m freestyle relay,Team,Female,Australia,Bronte Campbell,UnitedStates,Dana Vollmer,Canada,Taylor Ruck
Swimming,4×100 m freestyle relay,Team,Female,Australia,Cate Campbell,UnitedStates,Katie Ledecky,Canada,Penny Oleksiak
Swimming,4×100 m freestyle relay,Team,Female,Australia,Madison Wilson,UnitedStates,Amanda Weir,Canada,Michelle Williams
Swimming,4×100 m freestyle relay,Team,Female,NoMedal,NoMedal,UnitedStates,Lia Neal,NoMedal,NoMedal
Swimming,4×100 m freestyle relay,Team,Female,NoMedal,NoMedal,UnitedStates,Allison Schmitt,NoMedal,NoMedal
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Allison Schmitt,Australia,Leah Neale,Canada,Katerine Savard
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Leah Smith,Australia,Emma McKeon ,Canada,Taylor Ruck
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Maya DiRado,Australia,Bronte Barratt,Canada,Brittany MacLean
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Katie Ledecky,Australia,Tamsin Cook,Canada,Penny Oleksiak
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Missy Franklin,Australia,Jessica Ashwood,Canada,Kennedy Goss
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Melanie Margalis,NoMedal,NoMedal,NoMedal,Emily Overholt
Swimming,4×200 m freestyle relay,Team,Female,UnitedStates,Cierra Runge,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Kathleen Baker,Australia,Emily Seebohm,Denmark,Mie Nielsen
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Lilly King,Australia,Taylor McKeown,Denmark,Rikke Møller Pedersen
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Dana Vollmer,Australia,Emma McKeon,Denmark,Jeanette Ottesen
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Simone Manuel,Australia,Cate Campbell,Denmark,Pernille Blume
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Olivia Smoliga,Australia,Madison Wilson,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Katie Meili,Australia,Madeline Groves,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Kelsi Worrell,Australia,Brittany Elmslie,NoMedal,NoMedal
Swimming,4×100 m medley relay,Team,Female,UnitedStates,Abbey Weitzeil,NoMedal,NoMedal,NoMedal,NoMedal
Swimming,10 km open water,Individual,Female,Netherlands,Sharon van Rouwendaal,Italy,Rachele Bruni,Brazil,Poliana Okimoto
Swimming,Synchronized swimming-Duet,Team,Mixed,Russia,Natalia Ishchenko,China,Huang Xuechen,Japan,Yukiko Inui
Swimming,Synchronized swimming-Duet,Team,Mixed,Russia,Svetlana Romashina,China,Sun Wenyan,Japan,Risako Mitsui
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Vlada Chigireva,China,Gu Xiao,Japan,Aika Hakoyama
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Natalia Ishchenko,China,Guo Li,Japan,Yukiko Inui
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Svetlana Kolesnichenko,China,Li Xiaolu,Japan,Kei Marumo
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Aleksandra Patskevich,China,Liang Xinping,Japan,Risako Mitsui
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Svetlana Romashina,China,Sun Wenyan,Japan,Kanami Nakamaki
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Alla Shishkina,China,Tang Mengni,Japan,Mai Nakamura
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Maria Shurochkina,China,Yin Chengxin,Japan,Kano Omata
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Gelena Topilina,China,Zeng Zhen,Japan,Kurumi Yoshida
Swimming,Synchronized swimming-Team,Team,Mixed,Russia,Elena Prokofyeva,China,Huang Xuechen,Japan,Aiko Hayashi
Aquatics,Water Polo,Team,Male,Serbia,Gojko Pijetlovi?,Croatia,Josip Pavi?,Italy,Stefano Tempesti
Aquatics,Water Polo,Team,Male,Serbia,Dušan Mandi?,Croatia,Damir Buri?,Italy,Francesco Di Fulvio
Aquatics,Water Polo,Team,Male,Serbia,Živko Goci?,Croatia,Antonio Petkovi?,Italy,Niccolò Gitto
Aquatics,Water Polo,Team,Male,Serbia,Sava Ran?elovi?,Croatia,Luka Lon?ar,Italy,Pietro Figlioli
Aquatics,Water Polo,Team,Male,Serbia,Miloš ?uk,Croatia,Maro Jokovi?,Italy,Alessandro Velotto
Aquatics,Water Polo,Team,Male,Serbia,Duško Pijetlovi?,Croatia,Luka Buki?,Italy,Michael Bodegas
Aquatics,Water Polo,Team,Male,Serbia,Slobodan Niki?,Croatia,Xavier García,Italy,Andrea Fondelli
Aquatics,Water Polo,Team,Male,Serbia,Milan Aleksi?,Croatia,Andro Bušlje,Italy,Valentino Gallo
Aquatics,Water Polo,Team,Male,Serbia,Nikola Jakši?,Croatia,Sandro Sukno,Italy,Christian Presciutti
Aquatics,Water Polo,Team,Male,Serbia,Filip Filipovi?,Croatia,Ivan Krapi?,Italy,Nicholas Presciutti
Aquatics,Water Polo,Team,Male,Serbia,Andrija Prlainovi?,Croatia,An?elo Šetka,Italy,Matteo Aicardi
Aquatics,Water Polo,Team,Male,Serbia,Stefan Mitrovi?,Croatia,Marko Macan,Italy,Alessandro Nora
Aquatics,Water Polo,Team,Male,Serbia,Branislav Mitrovi?,Croatia,Marko Bija?,Italy,Marco Del Lungo
Aquatics,Water Polo,Team,Female,UnitedStates,Samantha Hill,Italy,Giulia Gorlero,Russia,Anna Ustyukhina
Aquatics,Water Polo,Team,Female,UnitedStates,Madeline Musselmann,Italy,Chiara Tabani,Russia,Maria Borisova
Aquatics,Water Polo,Team,Female,UnitedStates,Melissa Seidemann,Italy,Arianna Garibotti,Russia,Ekaterina Prokofyeva
Aquatics,Water Polo,Team,Female,UnitedStates,Rachel Fattal,Italy,Elisa Queirolo,Russia,Elvina Karimova
Aquatics,Water Polo,Team,Female,UnitedStates,Aria Fischer,Italy,Federica Radicchi,Russia,Nadezhda Fedotova
Aquatics,Water Polo,Team,Female,UnitedStates,Maggie Steffens,Italy,Rosaria Aiello,Russia,Olga Belova
Aquatics,Water Polo,Team,Female,UnitedStates,Courtney Mathewson,Italy,Tania Di Mario,Russia,Ekaterina Lisunova
Aquatics,Water Polo,Team,Female,UnitedStates,Kiley Neushul,Italy,Roberta Bianconi,Russia,Anastasia Simanovich
Aquatics,Water Polo,Team,Female,UnitedStates,Caroline Clark,Italy,Giulia Enrica Emmolo,Russia,Anna Timofeeva
Aquatics,Water Polo,Team,Female,UnitedStates,Kaleigh Gilchrist,Italy,Francesca Pomeri,Russia,Evgenia Soboleva
Aquatics,Water Polo,Team,Female,UnitedStates,Makenzie Fischer,Italy,Aleksandra Cotti,Russia,Evgeniya Ivanova
Aquatics,Water Polo,Team,Female,UnitedStates,Kami Craig,Italy,Teresa Frassinetti,Russia,Anna Grineva
Aquatics,Water Polo,Team,Female,UnitedStates,Ashleigh Johnson,Italy,Laura Teani,Russia,Anna Karnaukh
Field Hockey,Hockey,Team,Male,Argentina,Juan Manuel Vivaldi,Belgium,Arthur Van Doren,Germany,Nicolas Jacobi
Field Hockey,Hockey,Team,Male,Argentina,Gonzalo Peillat,Belgium,John-John Dohmen,Germany,Matthias Müller
Field Hockey,Hockey,Team,Male,Argentina,Juan Ignacio Gilardi,Belgium,Florent van Aubel,Germany,Linus Butt
Field Hockey,Hockey,Team,Male,Argentina,Pedro Ibarra,Belgium,Sebastien Dockier,Germany,Martin Häner
Field Hockey,Hockey,Team,Male,Argentina,Facundo Callioni,Belgium,Cédric Charlier,Germany,Moritz Trompertz
Field Hockey,Hockey,Team,Male,Argentina,Lucas Rey,Belgium,Gauthier Boccard,Germany,Mats Grambusch
Field Hockey,Hockey,Team,Male,Argentina,Matías Paredes,Belgium,Emmanuel Stockbroekx,Germany,Christopher Wesley
Field Hockey,Hockey,Team,Male,Argentina,Joaquín Menini,Belgium,Thomas Briels,Germany,Timm Herzbruch
Field Hockey,Hockey,Team,Male,Argentina,Lucas Vila,Belgium,Felix Denayer,Germany,Tobias Hauke
Field Hockey,Hockey,Team,Male,Argentina,Luca Masso,Belgium,Vincent Vanasch,Germany,Tom Grambusch
Field Hockey,Hockey,Team,Male,Argentina,Ignacio Ortiz,Belgium,Simon Gougnard,Germany,Christopher Rühr
Field Hockey,Hockey,Team,Male,Argentina,Juan Martín López,Belgium,Loïck Luypaert,Germany,Martin Zwicker
Field Hockey,Hockey,Team,Male,Argentina,Juan Manuel Saladino,Belgium,Tom Boon,Germany,Moritz Fürste
Field Hockey,Hockey,Team,Male,Argentina,Isidoro Ibarra,Belgium,Jérôme Truyens,Germany,Florian Fuchs
Field Hockey,Hockey,Team,Male,Argentina,Matías Rey,Belgium,Elliot Van Strydonck,Germany,Timur Oruz
Field Hockey,Hockey,Team,Male,Argentina,Manuel Brunet,Belgium,Tanguy Cosyns,Germany,Niklas Wellen
Field Hockey,Hockey,Team,Male,Argentina,Agustín Mazzilli,NoMedal,NoMedal,NoMedal,NoMedal
Field Hockey,Hockey,Team,Male,Argentina,Lucas Rossi,NoMedal,NoMedal,NoMedal,NoMedal
Field Hockey,Hockey,Team,Female,GreatBritain,Maddie Hinch,Netherlands,Joyce Sombroek,Germany,Nike Lorenz
Field Hockey,Hockey,Team,Female,GreatBritain,Laura Unsworth,Netherlands,Xan de Waard,Germany,Selin Oruz
Field Hockey,Hockey,Team,Female,GreatBritain,Crista Cullen,Netherlands,Kitty van Male,Germany,Anne Schröder
Field Hockey,Hockey,Team,Female,GreatBritain,Hannah Macleod,Netherlands,Laurien Leurink,Germany,Lisa Schütze
Field Hockey,Hockey,Team,Female,GreatBritain,Georgie Twigg,Netherlands,Willemijn Bos,Germany,Charlotte Stapenhorst
Field Hockey,Hockey,Team,Female,GreatBritain,Helen Richardson-Walsh,Netherlands,Marloes Keetels,Germany,Katharina Otte
Field Hockey,Hockey,Team,Female,GreatBritain,Susannah Townsend,Netherlands,Carlien Dirkse van den Heuvel,Germany,Janne Müller-Wieland
Field Hockey,Hockey,Team,Female,GreatBritain,Kate Richardson-Walsh,Netherlands,Kelly Jonker,Germany,Hannah Krüger
Field Hockey,Hockey,Team,Female,GreatBritain,Sam Quek,Netherlands,Maria Verschoor,Germany,Jana Teschke
Field Hockey,Hockey,Team,Female,GreatBritain,Alex Danson,Netherlands,Lidewij Welten,Germany,Lisa Altenburg
Field Hockey,Hockey,Team,Female,GreatBritain,Giselle Ansley,Netherlands,Caia van Maasakker,Germany,Franzisca Hauke
Field Hockey,Hockey,Team,Female,GreatBritain,Sophie Bray,Netherlands,Maartje Paumen,Germany,Cécile Pieper
Field Hockey,Hockey,Team,Female,GreatBritain,Hollie Webb,Netherlands,Naomi van As,Germany,Marie Mävers
Field Hockey,Hockey,Team,Female,GreatBritain,Shona McCallin,Netherlands,Ellen Hoog,Germany,Annika Sprink
Field Hockey,Hockey,Team,Female,GreatBritain,Lily Owsley,Netherlands,Margot van Geffen,Germany,Julia Müller
Field Hockey,Hockey,Team,Female,GreatBritain,Nicola White,Netherlands,Eva de Goede,Germany,Pia-Sophie Oldhafer
Field Hockey,Hockey,Team,Female,NoMedal,NoMedal,NoMedal,NoMedal,Germany,Kristina Reynolds
Football,Football,Team,Male,Brazil,Weverton,Germany,Timo Horn,Nigeria,Daniel Akpeyi
Football,Football,Team,Male,Brazil,Zeca,Germany,Jeremy Toljan,Nigeria,Muenfuh Sincere
Football,Football,Team,Male,Brazil,Rodrigo Caio,Germany,Lukas Klostermann,Nigeria,Kingsley Madu
Football,Football,Team,Male,Brazil,Marquinhos,Germany,Matthias Ginter,Nigeria,Shehu Abdullahi
Football,Football,Team,Male,Brazil,Renato Augusto,Germany,Niklas Süle,Nigeria,Saturday Erimuya
Football,Football,Team,Male,Brazil,Douglas Santos,Germany,Sven Bender,Nigeria,William Troost-Ekong
Football,Football,Team,Male,Brazil,Luan,Germany,Max Meyer,Nigeria,Aminu Umar
Football,Football,Team,Male,Brazil,Rafinha,Germany,Lars Bender,Nigeria,Oghenekaro Etebo
Football,Football,Team,Male,Brazil,Gabriel,Germany,Davie Selke,Nigeria,Imoh Ezekiel
Football,Football,Team,Male,Brazil,Neymar,Germany,Leon Goretzka,Nigeria,John Obi Mikel
Football,Football,Team,Male,Brazil,Gabriel Jesus,Germany,Julian Brandt,Nigeria,Junior Ajayi
Football,Football,Team,Male,Brazil,Walace,Germany,Jannik Huth,Nigeria,Popoola Saliu
Football,Football,Team,Male,Brazil,William,Germany,Philipp Max,Nigeria,Umar Sadiq
Football,Football,Team,Male,Brazil,Luan Garcia,Germany,Robert Bauer,Nigeria,Azubuike Okechukwu
Football,Football,Team,Male,Brazil,Rodrigo Dourado,Germany,Max Christiansen,Nigeria,Ndifreke Udo
Football,Football,Team,Male,Brazil,Thiago Maia,Germany,Grischa Prömel,Nigeria,Stanley Amuzie
Football,Football,Team,Male,Brazil,Felipe Anderson,Germany,Serge Gnabry,Nigeria,Usman Mohammed
Football,Football,Team,Male,Brazil,Uilson,Germany,Nils Petersen,Nigeria,Emmanuel Daniel
Football,Football,Team,Male,NoMedal,NoMedal,Germany,Eric Oelschlägel,NoMedal,NoMedal
Football,Football,Team,Female,Germany,Almuth Schult,Sweden,Jonna Andersson,Canada,Stephanie Labbé
Football,Football,Team,Female,Germany,Josephine Henning,Sweden,Emilia Appelqvist,Canada,Allysha Chapman
Football,Football,Team,Female,Germany,Saskia Bartusiak,Sweden,Kosovare Asllani,Canada,Kadeisha Buchanan
Football,Football,Team,Female,Germany,Leonie Maier,Sweden,Emma Berglund,Canada,Shelina Zadorsky
Football,Football,Team,Female,Germany,Annike Krahn,Sweden,Stina Blackstenius,Canada,Rebecca Quinn
Football,Football,Team,Female,Germany,Simone Laudehr,Sweden,Hilda Carlén,Canada,Deanne Rose
Football,Football,Team,Female,Germany,Melanie Behringer,Sweden,Lisa Dahlkvist,Canada,Rhian Wilkinson
Football,Football,Team,Female,Germany,Lena Goeßling,Sweden,Magdalena Ericsson,Canada,Diana Matheson
Football,Football,Team,Female,Germany,Alexandra Popp,Sweden,Nilla Fischer,Canada,Josée Bélanger
Football,Football,Team,Female,Germany,Dzsenifer Marozsán,Sweden,Pauline Hammarlund,Canada,Ashley Lawrence
Football,Football,Team,Female,Germany,Anja Mittag,Sweden,Sofia Jakobsson,Canada,Desiree Scott
Football,Football,Team,Female,Germany,Tabea Kemme,Sweden,Hedvig Lindahl,Canada,Christine Sinclair
Football,Football,Team,Female,Germany,Sara Däbritz,Sweden,Fridolina Rolfö,Canada,Sophie Schmidt
Football,Football,Team,Female,Germany,Babett Peter,Sweden,Elin Rubensson,Canada,Melissa Tancredi
Football,Football,Team,Female,Germany,Mandy Islacker,Sweden,Jessica Samuelsson,Canada,Nichelle Prince
Football,Football,Team,Female,Germany,Melanie Leupolz,Sweden,Lotta Schelin,Canada,Janine Beckie
Football,Football,Team,Female,Germany,Isabel Kerschowski,Sweden,Caroline Seger,Canada,Jessie Fleming
Football,Football,Team,Female,Germany,Laura Benkarth,Sweden,Linda Sembrant,Canada,Sabrina D'Angelo
Football,Football,Team,Female,Germany,Svenja Huth,Sweden,Olivia Schough,NoMedal,NoMedal
Golf,Men's individual,Individual,Male,GreatBritain,Justin Rose,Sweden,Henrik Stenson,UnitedStates,Matt Kuchar
Golf,Women's individual,Individual,Female,SouthKorea,Inbee Park,NewZealand,Lydia Ko,China,Shanshan Feng
Gymnastics,Artistic gymnastics,Team,Male,Japan,Kenz? Shirai,Russia,Denis Ablyazin,China,Deng Shudi
Gymnastics,Artistic gymnastics,Team,Male,Japan,Yusuke Tanaka,Russia,David Belyavskiy,China,Lin Chaopan
Gymnastics,Artistic gymnastics,Team,Male,Japan,Koji Yamamuro,Russia,Ivan Stretovich,China,Liu Yang
Gymnastics,Artistic gymnastics,Team,Male,Japan,K?hei Uchimura,Russia,Nikolai Kuksenkov,China,You Hao
Gymnastics,Artistic gymnastics,Team,Male,Japan,Ry?hei Kat?,Russia,Nikita Nagornyy,China,Zhang Chenglong
Gymnastics,Individual all-around,Individual,Male,Japan,K?hei Uchimura,Ukraine,Oleg Vernyayev,GreatBritain,Max Whitlock
Gymnastics,Floor exercise,Individual,Male,GreatBritain,Max Whitlock,Brazil,Diego Hypólito,Brazil,Arthur Mariano
Gymnastics,Pommel horse,Individual,Male,GreatBritain,Max Whitlock,GreatBritain,Louis Smith,UnitedStates,Alexander Naddour
Gymnastics,Rings,Individual,Male,Greece,Eleftherios Petrounias,Brazil,Arthur Zanetti,Russia,Denis Ablyazin
Gymnastics,Vault,Individual,Male,NorthKorea,Ri Se-gwang,Russia,Denis Ablyazin,Japan,Kenz? Shirai
Gymnastics,Parallel bars,Individual,Male,Ukraine,Oleg Vernyayev,UnitedStates,Danell Leyva,Russia,David Belyavskiy
Gymnastics,Horizontal bar,Individual,Male,Germany,Fabian Hambüchen,UnitedStates,Danell Leyva,GreatBritain,Nile Wilson
Gymnastics,Team all-around,Team,Female,UnitedStates,Simone Biles,Russia,Angelina Melnikova,China,Fan Yilin
Gymnastics,Team all-around,Team,Female,UnitedStates,Gabby Douglas,Russia,Aliya Mustafina,China,Mao Yi
