Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Athletics,100 metres hurdles,Individual,Female,UnitedStates,Brianna Rollins,UnitedStates,Nia Ali,UnitedStates,Kristi Castlin
Athletics,400 metres hurdles,Individual,Female,UnitedStates,Dalilah Muhammad,Denmark,Sara Petersen,UnitedStates,Ashley Spencer
Athletics,3000 metres steeplechase,Individual,Female,Bahrain,Ruth Jebet,Kenya,Hyvin Jepkemoi,UnitedStates,Emma Coburn
Athletics,4×100 metres relay,Team,Female,UnitedStates,Tianna Bartoletta,Jamaica,Christania Williams,GreatBritain,Asha Philip
Athletics,4×100 metres relay,Team,Female,UnitedStates,Allyson Felix,Jamaica,Elaine Thompson,GreatBritain,Desiree Henry
Athletics,4×100 metres relay,Team,Female,UnitedStates,English Gardner,Jamaica,Veronica Campbell-Brown,GreatBritain,Dina Asher-Smith
Athletics,4×100 metres relay,Team,Female,UnitedStates,Tori Bowie,Jamaica,Shelly-Ann Fraser-Pryce,GreatBritain,Daryll Neita
Athletics,4×100 metres relay,Team,Female,UnitedStates,Morolake Akinosun,Jamaica,Simone Facey,NoMedal,NoMedal
Athletics,4×100 metres relay,Team,Female,NoMedal,NoMedal,Jamaica,Sashalee Forbes,NoMedal,NoMedal
Athletics,4×400 metres relay,Team,Female,UnitedStates,Allyson Felix,Jamaica,Stephenie Ann McPherson,GreatBritain,Eilidh Doyle
Athletics,4×400 metres relay,Team,Female,UnitedStates,Phyllis Francis,Jamaica,Anneisha McLaughlin-Whilby,GreatBritain,Anyika Onuora
Athletics,4×400 metres relay,Team,Female,UnitedStates,Natasha Hastings,Jamaica,Shericka Jackson,GreatBritain,Emily Diamond
Athletics,4×400 metres relay,Team,Female,UnitedStates,Courtney Okolo,Jamaica,Novlene Williams-Mills,GreatBritain,Christine Ohuruogu
Athletics,4×400 metres relay,Team,Female,UnitedStates,Taylor Ellis-Watson,Jamaica,Christine Day,GreatBritain,Kelly Massey
Athletics,4×400 metres relay,Team,Female,UnitedStates,Francena McCorory,Jamaica,Chrisann Gordon,NoMedal,NoMedal
Athletics,Marathon,Individual,Female,Kenya,Jemima Sumgong,Bahrain,Eunice Kirwa,Ethiopia,Mare Dibaba
Athletics,20 kilometres walk,Individual,Female,China,Liu Hong,Mexico,María Guadalupe González,China,Lü Xiuzhi
Athletics,High jump,Individual,Female,Spain,Ruth Beitia,Bulgaria,Mirela Demireva,Croatia,Blanka Vlaši?
Athletics,Pole vault,Individual,Female,Greece,Ekaterini Stefanidi,UnitedStates,Sandi Morris,NewZealand,Eliza McCartney
Athletics,Long jump,Individual,Female,UnitedStates,Tianna Bartoletta,UnitedStates,Britney Reese,Serbia,Ivana Španovi?
Athletics,Triple jump,Individual,Female,Columbia,Caterine Ibargüen,Venezuela,Yulimar Rojas,Kazakhstan,Olga Rypakova
Athletics,Shot put,Individual,Female,UnitedStates,Michelle Carter,NewZealand,Valerie Adams,Hungary,Anita Marton
Athletics,Discus throw,Individual,Female,Croatia,Sandra Perkovi?,France,Mélina Robert-Michon,Cuba,Denia Caballero
Athletics,Hammer throw,Individual,Female,Poland,Anita W?odarczyk,China,Zhang Wenxiu,GreatBritain,Sophie Hitchon
Athletics,Sophie Hitchon,Individual,Female,Croatia,Sara Kolak,SouthAfrica,Sunette Viljoen,CzechRepublic,Barbora Špotáková
Athletics,Heptathlon,Individual,Female,Belgium,Nafissatou Thiam,GreatBritain,Jessica Ennis-Hill,Canada,Brianne Theisen-Eaton
Badmiton,Men's singles,Individual,Male,China,Chen Long,Malaysia,Lee Chong Wei,Denmark,Viktor Axelsen
Badmiton,Men's doubles,Team,Male,China,Fu Haifeng,Malaysia,Goh V Shem,GreatBritain,Chris Langridge
Badmiton,Men's doubles,Team,Male,China,Zhang Nan,Malaysia,Tan Wee Kiong,GreatBritain,Marcus Ellis
Badmiton,Women's singles,Individual,Female,Spain,Carolina Marín,India,P.V. Sindhu,Japan,Nozomi Okuhara
Badmiton,Women's doubles,Team,Female,Japan,Misaki Matsutomo,Denmark,Christinna Pedersen,SouthKorea,Jung Kyung-eun
Badmiton,Women's doubles,Team,Female,Japan,Ayaka Takahashi,Denmark,Kamilla Rytter Juhl,SouthKorea,Shin Seung-chan
Badmiton,Mixed doubles,Team,Mixed,Indonesia,Tontowi Ahmad,Malaysia,Chan Peng Soon,China,Zhang Nan
Badmiton,Mixed doubles,Team,Mixed,Indonesia,Liliyana Natsir,Malaysia,Goh Liu Ying,China,Zhao Yunlei
Basketball,Men,Team,Male,UnitedStates,Jimmy Butler,Serbia,Milos Teodosic,Spain,Pau Gasol
Basketball,Men,Team,Male,UnitedStates,Kevin Durant,Serbia,Marko Simonovic,Spain,Rudy Fernández
Basketball,Men,Team,Male,UnitedStates,DeAndre Jordan,Serbia,Bogdan Bogdanovic,Spain,Sergio Rodríguez
Basketball,Men,Team,Male,UnitedStates,Kyle Lowry,Serbia,Stefan Markovic,Spain,Juan Carlos Navarro
Basketball,Men,Team,Male,UnitedStates,Harrison Barnes,Serbia,Nikola Kalinic,Spain,José Manuel Calderón
Basketball,Men,Team,Male,UnitedStates,DeMar DeRozan,Serbia,Nemanja Nedovic,Spain,Felipe Reyes
Basketball,Men,Team,Male,UnitedStates,Kyrie Irving,Serbia,Stefan Bircevic,Spain,Víctor Claver
Basketball,Men,Team,Male,UnitedStates,Klay Thompson,Serbia,Miroslav Raduljica,Spain,Willy Hernangómez
Basketball,Men,Team,Male,UnitedStates,DeMarcus Cousins,Serbia,Nikola Jokic,Spain,Álex Abrines
Basketball,Men,Team,Male,UnitedStates,Paul George,Serbia,Vladimir Stimac,Spain,Sergio Llull
Basketball,Men,Team,Male,UnitedStates,Draymond Green,Serbia,Stefan Jovic,Spain,Nikola Miroti?
Basketball,Men,Team,Male,UnitedStates,Carmelo Anthony,Serbia,Milan Macvan,Spain,Ricky Rubio
Basketball,Women,Team,Female,UnitedStates,Seimone Augustus,Spain,Leticia Romero,Serbia,Tamara Rado?aj
Basketball,Women,Team,Female,UnitedStates,Sue Bird,Spain,Laura Nicholls,Serbia,Sonja Petrovi?
Basketball,Women,Team,Female,UnitedStates,Tamika Catchings,Spain,Silvia Domínguez,Serbia,Saša ?a?o
Basketball,Women,Team,Female,UnitedStates,Tina Charles,Spain,Alba Torrens,Serbia,Sara Krnji?
Basketball,Women,Team,Female,UnitedStates,Elena Delle Donne,Spain,Laia Palau,Serbia,Nevena Jovanovi?
Basketball,Women,Team,Female,UnitedStates,Sylvia Fowles,Spain,Marta Xargay,Serbia,Jelena Milovanovi?
Basketball,Women,Team,Female,UnitedStates,Brittney Griner,Spain,Leonor Rodríguez,Serbia,Dajana Butulija
Basketball,Women,Team,Female,UnitedStates,Angel McCoughtry,Spain,Lucila Pascua,Serbia,Dragana Stankovi?
Basketball,Women,Team,Female,UnitedStates,Maya Moore,Spain,Anna Cruz,Serbia,Aleksandra Crvendaki?
Basketball,Women,Team,Female,UnitedStates,Breanna Stewart,Spain,Laura Quevedo,Serbia,Milica Dabovi?
Basketball,Women,Team,Female,UnitedStates,Diana Taurasi,Spain,Laura Gil,Serbia,Ana Dabovi?
Basketball,Women,Team,Female,UnitedStates,Lindsay Whalen,Spain,Astou Ndour,Serbia,Danielle Page
Boxing,Light flyweight,Individual,Male,Uzbekistan,Hasanboy Dusmatov,Colombia,Yuberjén Martínez,Cuba,Joahnys Argilagos
Boxing,Light flyweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,UnitedStates,Nico Hernández
Boxing,Flyweight,Individual,Male,Uzbekistan,Shakhobidin Zoirov,Russia,Misha Aloyan,Venezuela,Yoel Finol
Boxing,Flyweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,China,Hu Jianguan
Boxing,Bantamweight,Individual,Male,Cuba,Robeisy Ramírez,UnitedStates,Shakur Stevenson,Russia,Vladimir Nikitin
Boxing,Bantamweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Uzbekistan,Murodjon Akhmadaliev
Boxing,Lightweight,Individual,Male,Brazil,Robson Conceição,France,Sofiane Oumiha,Cuba,Lázaro Álvarez
Boxing,Lightweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Mongolia,Dorjnyambuugiin Otgondalai
Boxing,Light welterweight,Individual,Male,Uzbekistan,Fazliddin Gaibnazarov,Azerbaijan,Lorenzo Sotomayor,Russia,Vitaly Dunaytsev
Boxing,Light welterweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Germany,Artem Harutyunyan
Boxing,Welterweight,Individual,Male,Kazakhstan,Daniyar Yeleussinov,Uzbekistan,Shakhram Giyasov,Morocco,Mohammed Rabii
Boxing,Welterweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,France,Souleymane Cissokho
Boxing,Middleweight,Individual,Male,Cuba,Arlen López,Uzbekistan,Bektemir Melikuziev,Mexico,Misael Rodríguez
Boxing,Middleweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Azerbaijan,Kamran Shakhsuvarly
Boxing,Light heavyweight,Individual,Male,Cuba,Julio César La Cruz,Kazakhstan,Adilbek Niyazymbetov,France,Mathieu Bauderlique
Boxing,Light heavyweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,GreatBritain,Joshua Buatsi
Boxing,Heavyweight,Individual,Male,Russia,Evgeny Tishchenko,Kazakhstan,Vasiliy Levit,Uzbekistan,Rustam Tulaganov
Boxing,Heavyweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Cuba,Erislandy Savón
Boxing,Super heavyweight,Individual,Male,France,Tony Yoka,GreatBritain,Joe Joyce,Croatia,Filip Hrgovi?
Boxing,Super heavyweight,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Kazakhstan,Ivan Dychko
Boxing,Flyweight,Individual,Female,GreatBritain,Nicola Adams,France,Sarah Ourahmoune,China,Ren Cancan
Boxing,Flyweight,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Columbia,Ingrit Valencia
Boxing,Lightweight,Individual,Female,France,Estelle Mossely,China,Yin Junhua,Finland,Mira Potkonen
