Rank	Country	WeightedMedals	Gold	Silver	Bronze	Population	PopulationperWeighted Medal	Year	CountryOld
27	LKA	2	0	1	0	4697000	2348500	1948	Ceylon
28	CUB	2	0	1	0	5284000	2642000	1948	Cuba
29	PRT	3	0	1	1	8262000	2754000	1948	Portugal
30	CAN	4	0	1	2	13218333	3304583	1948	Canada
31	MKD	4	0	2	0	15700000	3925000	1948	Yugoslavia
32	PRK	2	0	0	2	19409365	9704682	1948	South Korea
33	ESP	2	0	1	0	28524080	14262040	1948	Spain
34	IRN	1	0	0	1	16168000	16168000	1948	Iran
35	POL	1	0	0	1	23980000	23980000	1948	Poland
36	BRA	1	0	0	1	50767198	50767198	1948	Brazil
37	IND	4	1	0	0	349430000	87357500	1948	India
1	EST	15	2	2	3	1129471	75298	1936	Estonia
2	FIN	46	7	6	6	3693950	80303	1936	Finland
3	SWE	43	6	5	9	6259000	145558	1936	Sweden
4	CHE	27	1	9	5	4100933	151886	1936	Switzerland
5	HUN	47	10	1	5	9115758	193952	1936	Hungary
6	NLD	39	6	4	7	8303796	212917	1936	Netherlands
7	AUT	31	4	6	3	6758000	218000	1936	Austria
8	NOR	12	1	3	2	2898800	241566	1936	Norway
9	DEU	214	33	26	30	67350000	314719	1936	Germany
10	NZL	4	1	0	0	1573804	393451	1936	New Zealand
11	DNK	7	0	2	3	3714174	530596	1936	Denmark
12	CZE	22	3	5	0	12701961	577361	1936	Czechoslovakia
13	LVA	3	0	1	1	1961000	653666	1936	Latvia
14	CAN	15	1	3	5	11192333	746155	1936	Canada
15	ITA	55	8	9	5	42943602	780792	1936	Italy
16	USA	148	24	20	12	128138393	865799	1936	United States
17	ARG	15	2	2	3	13620000	908000	1936	Argentina
18	FRA	46	7	6	6	42360548	920881	1936	France
19	EGY	12	2	1	2	15801000	1316750	1936	Egypt
20	GBR	33	4	7	3	44933333	1361616	1936	Great Britain
21	JPN	40	6	4	8	69924100	1748102	1936	Japan
22	TUR	5	1	0	1	16676000	3335200	1936	Turkey
23	POL	9	0	3	3	33820000	3757777	1936	Poland
24	BEL	2	0	0	2	8302533	4151266	1936	Belgium
25	ZAF	2	0	1	0	10000000	5000000	1936	South Africa
26	MKD	2	0	1	0	11894911	5947455	1936	Yugoslavia
27	MEX	3	0	0	3	19675000	6558333	1936	Mexico
28	AUS	1	0	0	1	6778372	6778372	1936	Australia
29	PRT	1	0	0	1	7338000	7338000	1936	Portugal
30	ROU	2	0	1	0	18672618	9336309	1936	Romania
31	PHL	1	0	0	1	15542151	15542151	1936	Philippines
32	IND	4	1	0	0	316892896	79223224	1936	India
1	FIN	48	5	8	12	3632666	75680	1932	Finland
2	SWE	55	9	5	9	6185588	112465	1932	Sweden
3	HUN	37	6	4	5	8783600	237394	1932	Hungary
4	IRL	8	2	0	0	2956000	369500	1932	Ireland
5	DNK	9	0	3	3	3603000	400333	1932	Denmark
6	CAN	26	2	5	8	10510000	404230	1932	Canada
7	AUS	15	3	1	1	6560103	437340	1932	Australia
8	NLD	18	2	5	0	8122000	451222	1932	Netherlands
9	USA	258	41	32	30	124876647	484018	1932	United States
10	ITA	84	12	12	12	41580000	495000	1932	Italy
11	AUT	9	1	1	3	6725000	747222	1932	Austria
12	NZL	2	0	1	0	1530850	765425	1932	New Zealand
13	FRA	54	10	5	4	41692000	772074	1932	France
14	ZAF	11	2	0	3	8824666	802242	1932	South Africa
15	LVA	2	0	1	0	1931000	965500	1932	Latvia
16	ARG	14	3	1	0	13565942	968995	1932	Argentina
17	GBR	35	4	7	5	48168333	1376238	1932	Great Britain
18	CZE	9	1	2	1	12697193	1410799	1932	Czechoslovakia
19	JPN	46	7	7	4	65410778	1421973	1932	Japan
20	DEU	41	3	12	5	65720000	1602926	1932	Germany
21	URY	1	0	0	1	1788000	1788000	1932	Uruguay
22	CHE	2	0	1	0	4026773	2013386	1932	Switzerland
23	POL	14	2	1	4	32199100	2299935	1932	Poland
24	MEX	4	0	2	0	17816000	4454000	1932	Mexico
25	PHL	3	0	0	3	13724000	4574666	1932	Philippines
26	ESP	1	0	0	1	23953500	23953500	1932	Spain
27	IND	4	1	0	0	284102000	71025500	1932	India
1	FIN	57	8	8	9	3404000	59719	1928	Finland
2	EST	12	2	1	2	1116433	93036	1928	Estonia
3	CHE	40	7	4	4	3990000	99750	1928	Switzerland
4	SWE	52	7	6	12	6151953	118306	1928	Sweden
5	NLD	46	6	9	4	7640000	166086	1928	Netherlands
6	DNK	16	3	1	2	3490333	218145	1928	Denmark
7	NOR	9	1	2	1	2780933	308992	1928	Norway
8	CAN	31	4	4	7	9835000	317258	1928	Canada
9	HUN	26	4	5	0	8597554	330675	1928	Hungary
10	NZL	4	1	0	0	1459800	364950	1928	New Zealand
11	URY	4	1	0	0	1669000	417250	1928	Uruguay
12	CZE	20	2	5	2	10450600	522530	1928	Czechoslovakia
13	ARG	19	3	3	1	11282000	593789	1928	Argentina
14	MKD	9	1	1	3	5510100	612233	1928	Yugoslavia
15	AUS	9	1	2	1	6056453	672939	1928	Australia
16	IRL	4	1	0	0	2940000	735000	1928	Ireland
17	AUT	9	2	0	1	6643000	738111	1928	Austria
18	FRA	49	6	10	5	40815500	832969	1928	France
19	USA	140	22	18	16	121406874	867191	1928	United States
20	ITA	45	7	5	7	40054000	890088	1928	Italy
21	DEU	68	10	7	14	64785000	952720	1928	Germany
22	HTI	2	0	1	0	2316200	1158100	1928	Haiti
23	GBR	39	3	10	7	46038000	1180461	1928	Great Britain
24	ZAF	6	1	0	2	7777600	1296266	1928	South Africa
25	EGY	11	2	1	1	14600866	1327351	1928	Egypt
26	BEL	4	0	1	2	7986666	1996666	1928	Belgium
27	CHL	2	0	1	0	4164900	2082450	1928	Chile
28	POL	9	1	1	3	30330000	3370000	1928	Poland
29	JPN	13	2	2	1	61307883	4715991	1928	Japan
30	ESP	4	1	0	0	23217666	5804416	1928	Spain
31	PRT	1	0	0	1	6774255	6774255	1928	Portugal
32	PHL	1	0	0	1	12498000	12498000	1928	Philippines
33	IND	4	1	0	0	271442000	67860500	1928	India
1	FIN	92	14	13	10	3290666	35768	1924	Finland
2	CHE	54	7	8	10	3905306	72320	1924	Switzerland
3	NOR	27	5	2	3	2725733	100953	1924	Norway
4	EST	10	1	1	4	1114266	111426	1924	Estonia
5	SWE	54	4	13	12	6026033	111593	1924	Sweden
6	DNK	20	2	5	2	3434555	171727	1924	Denmark
7	BEL	29	3	7	3	7646000	263655	1924	Belgium
8	NLD	23	4	1	5	6848000	297739	1924	Netherlands
9	AUS	16	3	1	2	5681904	355119	1924	Australia
10	URY	4	1	0	0	1553000	388250	1924	Uruguay
11	USA	261	45	27	27	111413179	426870	1924	United States
12	FRA	92	13	15	10	39790500	432505	1924	France
13	HUN	18	2	3	4	8255600	458644	1924	Hungary
14	MKD	8	2	0	0	4234030	529253	1924	Yugoslavia
15	GBR	74	9	13	12	44072734	595577	1924	Great Britain
16	CZE	17	1	4	5	10450600	614741	1924	Czechoslovakia
17	ARG	12	1	3	2	9888024	824002	1924	Argentina
18	ITA	43	8	3	5	38242666	889364	1924	Italy
19	AUT	7	0	3	1	6562000	937428	1924	Austria
20	ZAF	7	1	1	1	7293900	1041985	1924	South Africa
21	CAN	7	0	3	1	9145666	1306523	1924	Canada
22	NZL	1	0	0	1	1410000	1410000	1924	New Zealand
23	HTI	1	0	0	1	2018666	2018666	1924	Haiti
24	PRT	1	0	0	1	6217663	6217663	1924	Portugal
25	POL	3	0	1	1	28564000	9521333	1924	Poland
26	ROU	1	0	0	1	16990000	16990000	1924	Romania
27	JPN	1	0	0	1	59250574	59250574	1924	Japan
1	NOR	79	13	9	9	2649775	33541	1920	Norway
2	FIN	89	15	10	9	3147600	35366	1920	Finland
3	SWE	141	19	20	25	5876000	41673	1920	Sweden
4	BEL	89	14	11	11	7478400	84026	1920	Belgium
5	DNK	31	3	9	1	3063000	98806	1920	Denmark
6	LUX	2	0	1	0	217000	108500	1920	Luxembourg
7	EST	8	1	2	0	1094039	136754	1920	Estonia
8	CHE	19	2	2	7	3879200	204168	1920	Switzerland
9	NLD	25	4	2	5	6837500	273500	1920	Netherlands
10	ZAF	23	3	4	3	6953000	302304	1920	South Africa
11	CAN	21	3	3	3	8552666	407269	1920	Canada
12	USA	245	41	27	27	106021558	432741	1920	United States
13	FRA	87	9	19	13	39036000	448689	1920	France
14	GBR	103	15	15	13	47321500	459432	1920	Great Britain
15	ITA	67	13	5	5	37837000	564731	1920	Italy
16	AUS	5	0	2	1	5425712	1085142	1920	Australia
17	NZL	1	0	0	1	1240800	1240800	1920	New Zealand
18	GRC	2	0	1	0	5033450	2516725	1920	Greece
19	CZE	2	0	0	2	8300642	4150321	1920	Czechoslovakia
20	ESP	4	0	2	0	21245466	5311366	1920	Spain
21	BRA	7	1	1	1	37738403	5391200	1920	Brazil
22	JPN	4	0	2	0	55963068	13990767	1920	Japan
1	SWE	161	24	24	17	5604200	34808	1912	Sweden
2	FIN	61	9	8	9	3049000	49983	1912	Finland
3	NOR	22	4	1	4	2423000	110136	1912	Norway
4	DNK	21	1	6	5	2794000	133047	1912	Denmark
5	ZAF	20	4	2	0	6074000	303700	1912	South Africa
6	AUS	15	2	2	3	4651848	310123	1912	Australasia
7	CAN	19	3	2	3	7318066	385161	1912	Canada
8	HUN	19	3	2	3	7793800	410200	1912	Hungary
9	GBR	86	10	15	16	44433999	516674	1912	Great Britain
10	BEL	13	2	1	3	7495261	576558	1912	Belgium
11	USA	157	25	19	19	94299498	600633	1912	United States
12	FRA	39	7	4	3	40833333	1047008	1912	France
13	GRC	5	1	0	1	5390000	1078000	1912	Greece
14	AUT	6	0	2	2	6724000	1120666	1912	Austria
15	DEU	53	5	13	7	66150000	1248113	1912	Germany
16	NLD	3	0	0	3	6043500	2014500	1912	Netherlands
17	ITA	16	3	1	2	35269200	2204325	1912	Italy
18	RUS	7	0	2	3	88402000	12628857	1912	Russian Federation
1	SWE	55	8	6	11	5416800	98487	1908	Sweden
2	GBR	365	56	51	39	41128700	112681	1908	Great Britain
3	NOR	17	2	3	3	2337400	137494	1908	Norway
4	CAN	28	3	3	10	7013000	250464	1908	Canada
5	FIN	9	1	1	3	2974800	330533	1908	Finland
6	HUN	22	3	4	2	7509000	341318	1908	Hungary
7	DNK	7	0	2	3	2668000	381142	1908	Denmark
8	AUS	10	1	2	2	3990361	399036	1908	Australasia
9	BEL	16	1	5	2	7352000	459500	1908	Belgium
10	USA	128	23	12	12	89882832	702209	1908	United States
11	GRC	6	0	3	0	5246000	874333	1908	Greece
12	ZAF	6	1	1	0	5591000	931833	1908	South Africa
13	FRA	39	5	5	9	40542333	1039547	1908	France
14	DEU	27	3	5	5	62860000	2328148	1908	Germany
15	NLD	2	0	0	2	5273000	2636500	1908	Netherlands
16	ITA	12	2	2	0	34747016	2895584	1908	Italy
18	AUT	1	0	0	1	6485000	6485000	1908	Austria
19	RUS	8	1	2	0	82502000	10312750	1908	Russian Federation
1	CUB	23	4	2	3	1879000	81695	1904	Cuba
2	USA	555	78	82	79	80181389	144470	1904	United States
3	CAN	19	4	1	1	5827000	306684	1904	Canada
4	HUN	11	2	1	1	7327000	666090	1904	Hungary
5	CHE	5	1	0	1	3425400	685080	1904	Switzerland
6	GRC	5	1	0	1	5102000	1020400	1904	Greece
7	DEU	29	4	4	5	57721666	1990402	1904	Germany
8	AUT	1	0	0	1	6228000	6228000	1904	Austria
9	GBR	6	1	1	0	38318700	6386450	1904	Great Britain
1	CHE	29	6	2	1	3315428	114325	1900	Switzerland
2	FRA	220	26	41	34	38300000	174090	1900	France
3	BEL	35	5	5	5	6719000	191971	1900	Belgium
4	DNK	12	1	3	2	2431000	202583	1900	Denmark
5	CUB	6	1	1	0	1500000	250000	1900	Cuba
6	NOR	7	0	2	3	2229000	318428	1900	Norway
7	AUS	11	2	0	3	3793322	344847	1900	Australia
8	GBR	81	15	6	9	35505000	438333	1900	Great Britain
9	USA	118	19	14	14	76172778	645532	1900	United States
10	AUT	9	0	3	3	5988400	665377	1900	Austria
11	HUN	10	1	2	2	6854415	685441	1900	Hungary
12	CAN	5	1	0	1	5304000	1060800	1900	Canada
13	NLD	5	0	1	3	5360050	1072010	1900	Netherlands
15	DEU	22	4	2	2	56118733	2550851	1900	Germany
16	ITA	12	2	2	0	32425000	2702083	1900	Italy
17	ESP	4	1	0	0	19263333	4815833	1900	Spain
18	SWE	1	0	0	1	5150000	5150000	1900	Sweden
19	MEX	1	0	0	1	13604666	13604666	1900	Mexico
20	IND	4	0	2	0	271306000	67826500	1900	India
1	GRC	93	10	17	19	2433802	26169	1896	Greece
2	DNK	11	1	2	3	2464770	224070	1896	Denmark
3	CHE	8	1	2	0	2941600	367700	1896	Switzerland
4	AUS	8	2	0	0	3585871	448233	1896	Australia
5	HUN	13	2	1	3	6855807	527369	1896	Hungary
6	USA	60	11	7	2	71801367	1196689	1896	United States
7	FRA	30	5	4	2	39611000	1320366	1896	France
8	DEU	36	6	5	2	53833333	1495370	1896	Germany
9	AUT	12	2	1	2	24961000	2080083	1896	Austria
10	GBR	16	2	3	2	35681033	2230064	1896	Great Britain
